Sex,Treatment,cytokines
Female,After,29.39006704983647
Male,Before,23.660308158826265
Male,After,27.588932185383694
Female,Before,16.854291373680454
Female,After,21.238292566692735
Male,Before,17.79658125690284
Male,After,19.486025227684173
Male,Before,22.950464436440495
Male,After,26.196539288810282
Female,Before,13.094765504877678
Female,After,21.009024654733697
Female,Before,14.368099663681573
Female,After,20.33910267033908
Female,Before,19.709436940617177
Female,After,28.131511323892294
Female,Before,14.825104547504733
Female,After,23.039199194758005
Male,Before,27.468617415887604
Male,After,32.96240308924408
Female,Before,19.500300798813146
Female,After,31.632756668147827
Male,Before,25.328628040331253
Male,After,24.931454759724044
Male,Before,21.670476096470964
Male,After,24.386812080957483
Male,Before,16.343335245374544
Male,After,18.257236215593252
Female,Before,21.628419060789284
Female,After,28.553672459183563
Female,Before,23.315504261978102
Female,After,28.511974295678776
Male,Before,16.931444448442257
Male,After,18.914907738951026
Female,Before,15.40269086426989
Female,After,27.51626776081412
Male,Before,17.68613553414092
Male,After,21.654007643851894
Male,Before,20.402865498813007
Male,After,24.188484066086584
Male,Before,16.802190779882277
Male,After,21.11012353073347
Male,Before,13.479061463018958
Male,After,14.52769279138203
Male,Before,25.300892903247075
Male,After,32.02285465826023
Female,Before,21.27512441806931
Female,After,29.435535915690373
Male,Before,17.659851108412493
Male,After,19.727497624345315
